序号,实例名称,数据库列表,关联服务,服务等级,当前版本,目标版本,规格,内存(GB),可用内存(MB),Swap(MB),内存风险¹,数据库大小,业务分组,研发负责人,批次,操作人,计划操作日期【北京时间】,升级状态,原库及蓝绿部署清理,备注
1,ldas01,"luckyus_ldas_slowquery
luckyus_db_collection","idataccm
idbtask
idbcollect","L2（普通业务服务）
L1（重要业务服务）
L2（普通业务服务）",8.0.45,8.4.9,db.t4g.large,8,649,219,低,127.64 GB,"架构
运维",张杨,第1批,待定,未开始,未开始,原 8.0.41，已随车队升至 8.0.45；major 升级需新建 mysql8.4 参数组
2,ilsopdevopsdata,luckyus_ilsopdevopsdata,ilsopdevopsdata,L2（普通业务服务）,8.0.45,8.4.9,db.t4g.micro,1,116,375,高,20.00 MB,质量效能,夏文涛,第1批,待定,未开始,未开始,大小为 5月基线（未经 gateway 暴露，未刷新）
3,iluckyhealth,luckyus_iluckyhealth,iluckyhealth,L2（普通业务服务）,8.0.45,8.4.9,db.t3.small,2,66,868,高,34.66 GB,运维,叶荣海,第1批,待定,未开始,未开始,可用内存仅 66MB，车队最低；major 升级 Multi-AZ failover 内存压力风险高
4,ldas,"luckyus_dbmsdbsearch
luckyus_ldas_cmdb
luckyus_ozono
luckyus_apigatewayadmin
luckyus_ldas_nacos
luckyus_ikafadmin","ildbquery
ldascmdb
luckyozono
luckyapigatewayadmin
ldasnacos
ikafadmin","L1（重要业务服务）
L1（重要业务服务）
L2（普通业务服务）
L2（普通业务服务）",8.0.45,8.4.9,db.t4g.large,8,1065,327,低,1.58 GB,"架构
运维","张杨
孔增
金盛昌
张黎明
翁延海",第1批,待定,未开始,未开始,8.0.45 升级曾多次部署失败、参数组缺 lower_case_table_names；8.4 必须新建 mysql8.4 参数组且 lctn 创建后不可改
5,ijumpserver,luckyus_ijumpserver_jumpserver,ijumpserver,L1（重要业务服务）,8.0.45,8.4.9,db.t4g.micro,1,96,627,高,153.58 MB,信息安全,刘成锡,第1批,待定,未开始,未开始,
6,devops,"luckyus_ilopamanager
luckyus_uam
luckyus_authservice
luckyus_iluckyptsweb
luckyus_auth
luckyus_izeus
luckyus_umbgrafana","izeusanomaly
izeusmetric
izeusalert
izeusnotice
izeusreceiver
izeushome
ilopamanager
lauthservice
luckyuam
umbgrafana
luckyauth","L1（重要业务服务）
L2（普通业务服务）",8.0.45,8.4.9,db.t4g.medium,4,1604,9,低,343.14 MB,"质量效能
运维","林鑫涛
吴心一
徐博轩
杨涛
姚清居
桂升斌
吴春林",第1批,待定,未开始,未开始,存储 gp2；含 uam/auth 鉴权库 —— 重点核查 mysql_native_password 用户
7,framework01,"luckyus_lcp_noahusercenter
luckyus_lcp_apiserver
luckyus_nacos
luckyus_isentineldashboard
luckyus_iluckyenvsystemweb
luckyus_koalaadmin
luckyus_zkdoctor
luckyus_kbx
luckyus_horae
luckyus_bsportal
luckyus_sddl_platform
luckyus_gaea","ucpmanagement
luckynacos
isentineldashboard
iluckyenvsystemweb
koalaadmin
izkdoctor
kbx
horae
luckybsportal
luckysddladmin
luckygaea","L1（重要业务服务）
L2（普通业务服务）",8.0.45,8.4.9,db.t4g.medium,4,1601,32,低,511.50 MB,架构,"车永生
罗宁
黄国仲
林正权
王卫
张隆洋
刘俊琪",第1批,待定,未开始,未开始,12 库 283 表；含 Nacos 配置中心 —— 升级期间确认配置中心连接驱动兼容 caching_sha2_password
8,framework02,"luckyus_src
luckyus_target
luckyus_iluckyflowadmin
luckyus_datalink
luckyus_ihmonitorconsole
luckyus_onepiececonsole
luckyus_chronusconsole
luckyus_ilkm","iluckyflowadmin
luckydatalink
ihmonitorconsole
onepiececonsole
onepiecesync
chronusconsole
chronusreporter
chronussharding
ilkm","L2（普通业务服务）
L1（重要业务服务）",8.0.45,8.4.9,db.t4g.medium,4,997,88,低,3.32 GB,架构,"罗宁
林正权
张黎明
代俊健
王卫",第1批,待定,未开始,未开始,
9,upush,"luckyus_iupushsms
luckyus_iupushemail
luckyus_iupushusercenter
luckyus_iupushapp
luckyus_iupushaid
luckyus_iupushadmin
luckyus_mdm
luckyus_imdmext
luckyus_mdmadmin","iupushsms
iupushemail
iupushusercenter
iupushapp
iupushaid
iupushadmin
luckymdm
imdmext
luckymdmadmin",L1（重要业务服务）,8.0.45,8.4.9,db.t4g.medium,4,256,335,中,20.11 GB,架构,"罗宁
林智贤
刘洋",第1批,待定,未开始,未开始,可用内存偏低 256MB；上轮因 datalink 续传 binlog 问题暂缓，本轮蓝绿前需复核
10,iotplatform,luckyus_iot_platform,"iotiplatformorderapi
iotiplatformmanagement
iotiplatformservice","L1（重要业务服务）
L1（重要业务服务）
L1（重要业务服务）",8.0.45,8.4.9,db.t4g.medium,4,1504,8,低,692.48 MB,AIot,"李晨端
左达奇",第1批,待定,未开始,未开始,上轮因 datalink 续传 binlog 问题暂缓，本轮蓝绿前需复核
