store_id,shop_no,store_label,address,monthly_rent_usd,cam_charges_usd,electricity_included_in_lease,landlord_submeters_electricity,landlord_name,lease_start_approx,lease_term_months,data_source,confidence_note
20009,US00007,S01,"2799 Broadway, New York, NY 10025",14500,,NO,UNKNOWN,300 W 108 OWNERS CORP,2025-06,UNKNOWN,ifiaccounting prepaid-rent GL 11230201 — first month rent entry,HIGH — first month rent prepayment; separate ConEd account 67291639960 confirms tenant-paid electricity
20027,US00020,S02,"261 3rd Avenue, New York, NY 10010",18000,,NO,UNKNOWN,Longer Hills II LLC,2025-10,UNKNOWN,ifiaccounting prepaid-rent GL 11230201 — first month rent entry,HIGH — first month rent prepayment; separate ConEd account 71595109811 confirms tenant-paid electricity
20029,US00022,S03,"244 8th Ave, New York, NY 10011",13000,,NO,UNKNOWN,244 AG Realty LLC,2025-12,UNKNOWN,ifiaccounting prepaid-rent GL 11230201 — first month rent entry,HIGH — first month rent prepayment; separate ConEd account 62790930457 confirms tenant-paid electricity
20035,US00027,S04,"488 Madison Ave, New York, NY 10022",19360,,NO,UNKNOWN,"488 Madison Avenue Associates, LLC",2025-10,UNKNOWN,ifiaccounting prepaid-rent GL 11230201 — first month rent entry,HIGH — first month rent prepayment; separate ConEd account 76978209914 confirms tenant-paid electricity
20032,US00025,S05,"221 Grand St, New York, NY 10013",13000,,NO — but landlord bills water separately,UNKNOWN — landlord may sub-meter water,219 Grand Property LLC,2025-10,UNKNOWN,ifiaccounting prepaid-rent GL 11230201 — first month rent + multiple 'water bill' entries to same landlord,"MEDIUM — rent is $13K/mo; 4 subsequent payments ($6.5K-$13K) labeled 'water bill' to landlord suggest water billed through landlord. ConEd account 23520686272 is separate, so electricity is likely NOT included. Verify water billing arrangement with ops."
20028,US00021,S06,"128 W 32nd St, New York, NY 10001",UNKNOWN — $22K entry is security deposit,,NO,UNKNOWN,125 West 31st Street Associates LLC,2025-11,UNKNOWN,ifiaccounting prepaid-rent GL 11230201 — lease security deposit entry,LOW — only a $22K security deposit entry found; monthly rent not yet determinable. Separate ConEd account 06543049552 confirms tenant-paid electricity. Store is preparing.
20016,US00010,S07,"154 Bleecker St, New York, NY 10012",13000,,NO,UNKNOWN,BSD 184 Thompson LLC,2025-08,UNKNOWN,ifiaccounting prepaid-rent GL 11230201 — first month prepaid rent entry,HIGH — first month rent prepayment; separate ConEd account 11688453528 confirms tenant-paid electricity. Store under construction.
20026,US00019,S08,"401 3rd Ave, New York, NY 10016",12700,,NO,UNKNOWN,"560 Third Associates, LLC",2025-12,UNKNOWN,ifiaccounting prepaid-rent GL 11230201 — first month rent prepay entry,HIGH — first month rent prepayment; separate ConEd account 75509283620 confirms tenant-paid electricity
20030,US00023,S09,"352 E 23rd St, New York, NY 10010",16500,,NO,UNKNOWN,"MANHATTAN RE INVESTMENTS II, INC.",2025-11,UNKNOWN,ifiaccounting prepaid-rent GL 11230201 — first month prepaid rent entry,HIGH — first month rent prepayment; separate ConEd account 21698356041 confirms tenant-paid electricity
20031,US00024,S10,"147 3rd Ave, New York, NY 10003",UNKNOWN — $11.5K entry is security deposit,,NO,UNKNOWN,Harmony Realty Holdings LLC,2025-09,UNKNOWN,ifiaccounting prepaid-rent GL 11230201 — security deposit entry,LOW — only an $11.5K security deposit entry found; monthly rent not yet determinable. Separate ConEd account 25556485990 confirms tenant-paid electricity.
20010,US00006,S11,"102 Fulton St, New York, NY 10038",16000,,NO,UNKNOWN,102-104 FULTON ST RETAIL LLC,2025-06,UNKNOWN,ifiaccounting prepaid-rent GL 11230201 — recurring monthly rent entries ($16K × 7 months),HIGH — consistent $16K/mo across 7 monthly entries; separate ConEd account 84868252416 confirms tenant-paid electricity
20019,US00012,S12,"555 6th Ave, New York, NY 10011",10125,,NO,UNKNOWN,SP 101 W 15 LLC,2025-10,UNKNOWN,ifiaccounting prepaid-rent GL 11230201 — first month rent prepaid entry,HIGH — first month rent prepayment; separate ConEd account 38162017628 confirms tenant-paid electricity
